ID,Stock,Date,User_Name,User_ID,Likes,Retweets,Replies,URL,Text
1345156137113554944,TSLA,2021-01-01 23:53:09+00:00,"Dr. Parik Patel, BA, CFA, ACCA Esq. 💸",1295526279194828800,2449,142,129,https://twitter.com/ParikPatelCFA/status/1345156137113554944,"P/E ratios are very useful for determining the quality of a company. High quality companies tend to have higher P/E ratios because investors are willing to pay more for that company's earnings. $TSLA has a P/E ratio of 1,349. That makes it one of the best companies in the world!"
1344810466086973440,BABA,2021-01-01 00:59:35+00:00,Justin Pulitzer Trades,18944615,22,3,3,https://twitter.com/JustinPulitzer/status/1344810466086973440,"I did some digging &amp; I think I've discovered why China is really cracking down on $BABA &amp; $TCEHY... And why this could be the reason behind the resurgence of #Bitcoin. Something HUGE is close to happening... And as usual, you'll hear it from me 1st. BIGGG New Year's show coming!!"
1345150909697777666,NVDA,2021-01-01 23:32:23+00:00,Mukund Mohan,893431,60,3,11,https://twitter.com/mukund/status/1345150909697777666,"The genomics people may not like me saying this, but in my mind the easiest play on investing in genomics is to buy Cloud - $AMZN AWS, $MSFT, $GOOG GCP, Semiconductor - $NVDA, $AMD, Storage $MU and Networking - $ANET🐘"
1345115494760771591,JNJ,2021-01-01 21:11:39+00:00,JQ,103011458,63,18,10,https://twitter.com/jq1234t/status/1345115494760771591,"1Q21 Catalysts:

$AGIO Mitapivat Transfusion Dependent PKD ph3
$BMRN Valrox Hemophilia A ph3
$BMY Relatlimab(anti-LAG3) 1L Melanoma ph3
$NVS Iptacopan(Factor B) IgAN ph2
$SRPT SRP-9001 DMD ph2
$SNDX-5613 MLL-r/NPM1 AML ph1

Covid-19 Vaccine:
$AZN US ph3
$JNJ US ph3
$NVAX UK ph3 https://t.co/GvakdEQgNI"
1345155290166157312,TWTR,2021-01-01 23:49:47+00:00,Christopher Bloomstran,1030541912116211712,89,5,5,https://twitter.com/ChrisBloomstran/status/1345155290166157312,"An investment write-up on $TWTR just yesterday suggested a $98 target stock price by this September, 81% above today’s. That’s an $80B market cap on a company doing $3.5B in revenues that’s raised $9.3B in share capital, $4.3B in debt and produced a cumulative $1.3B loss. 24/"
1345155809215471616,AAPL,2021-01-01 23:51:51+00:00,Scott Galloway,9273802,193,20,25,https://twitter.com/profgalloway/status/1345155809215471616,"#Apple has the $ and should acquire #Peloton — increase time spent on iOS 

#2021predictions Full video 👉 https://t.co/BFGwb8FNBm 
$AAPL $PLTN https://t.co/1UOZPb7uj2"
1345153070343270400,AMZN,2021-01-01 23:40:58+00:00,Víctor Galan 📊📈,1251433654879956993,33,1,6,https://twitter.com/VictorG_bolsa/status/1345153070343270400,"$AMZN voy a vigilar el triangulo de #AMAZON a ver por donde decide romper. Por ahora poco mas que decir. El ADX esta con volatilidad baja... volatilidad ridicula

#amazon #primevideo #eeuu #nasdaq100 #eeuu #usa #ibex35 #covid19 #españa #fx https://t.co/NDGiQl4Xed"
1345074466968231941,JPM,2021-01-01 18:28:37+00:00,runningwiththemoney.eth,1072300765488824320,17,7,3,https://twitter.com/LukeDonay/status/1345074466968231941,"It’s time to breakdown one of the largest banks around. Here is the breakdown of $JPM, otherwise known as JPMorgan.

Current Price: $127.07
52/Wk High: $141.10
52/Wk Low: $76.91

Market Cap: $387.3 Billion
Dividend: $3.60 / 2.83% Yield

Read below for the breakdown! 🔥 https://t.co/VD8qx5r2Fs"
1344840782344286209,AMC,2021-01-01 03:00:03+00:00,AMC Theatres,40245758,35,2,1,https://twitter.com/AMCTheatres/status/1344840782344286209,"Feel the power! AMC Stubs® Members, see WONDER WOMAN 1984 on the big screen 12/25-1/3 and you’ll be entered for a chance to win an actual screen-used Wonder Woman tiara! Get tickets now at #AMCTheaters: https://t.co/espXK83DWo https://t.co/kD2ahs5sXL"
1345081321815736324,PLUG,2021-01-01 18:55:52+00:00,Dennis Coyle,60407575,44,7,2,https://twitter.com/DCDOWORK/status/1345081321815736324,$NIO FACT - Over the past 5 days 5 more Institutions bought $NIO - Long @NIOGlobal for the next year! $TSLA $AMZN $AAPL $XPEV $LI $RIDE $IDEX waiting on $BLNK $PLUG https://t.co/tL84IyWWOG
1345088962361253888,PFE,2021-01-01 19:26:13+00:00,Matthew Herper,44438256,56,19,11,https://twitter.com/matthewherper/status/1345088962361253888,"Pfizer and BioNTech speed up timeline for offering Covid-19 vaccine to placebo volunteers 

Plan to offer first dose to all volunteers by March 1.

A question: why didn't FDA and OWS set out more of a plan ahead of time?

https://t.co/5Xa7swjurb 

$PFE $BNTX $MRNA"
